i,Title,Year,Rating,Branch,Original?
130,The Rescuers,1977,G,Standard,A
131,Herbie Goes to Monte Carlo,1977,G,Standard,AS
132,Pete’s Dragon,1977,G,Standard,A*
133,Candleshoe,1978,G,Standard,O
134,Return from Witch Mountain,1978,G,Standard,AS
135,The Cat from Outer Space,1978,G,Standard,O
136,Hot Lead and Cold Feet,1978,G,Standard,O
137,The North Avenue Irregulars,1979,G,Standard,O
138,The Apple Dumpling Gang Rides Again,1979,G,Standard,AS
139,Unidentified Flying Oddball,1979,G,Standard,A
140,The Black Hole,1979,PG,Standard,O
141,Midnight Madness,1980,PG,Standard,O
142,The Last Flight of Noah’s Ark,1980,G,Standard,A
143,Herbie Goes Bananas,1980,G,Standard,AS
144,The Devil and Max Devlin,1981,PG,Standard,O
145,Amy,1981,G,Standard,O
146,The Fox and the Hound,1981,G,Standard,A
147,Condorman,1981,PG,Standard,O
148,The Watcher in the Woods,1981,PG,Standard,A
149,Night Crossing,1982,PG,Standard,A*
150,Tron,1982,PG,Standard,O
151,Tex,1982,PG,Standard,A
152,Trenchcoat,1983,PG,Standard,O
153,Something Wicked This Way Comes,1983,PG,Standard,A
154,Never Cry Wolf,1983,PG,Standard,A
155,Splash,1984,PG,Touchstone,
156,Tiger Town,1984,G,Standard,A*
157,Country,1984,PG,Touchstone,
158,Baby...Secret of the Lost Legend,1985,PG,Touchstone,
159,Return to Oz,1985,PG,Standard,AS
160,The Black Cauldron,1985,PG,Standard,A
161,My Science Project,1985,PG,Touchstone,
162,The Journey of Natty Gann,1985,PG,Standard,O
163,One Magic Christmas,1985,G,Standard,O
164,Down and Out in Beverly Hills,1986,R,Touchstone,
165,Off Beat,1986,R,Touchstone,
166,Ruthless People,1986,R,Touchstone,
167,The Great Mouse Detective,1986,G,Standard,A
168,Flight of the Navigator,1986,PG,Standard,O
169,Tough Guys,1986,PG,Touchstone,
170,The Color of Money,1986,R,Touchstone,
171,Outrageous Fortune,1987,R,Touchstone,
172,Tin Men,1987,R,Touchstone,
173,Ernest Goes to Camp,1987,PG,Touchstone,
174,Benji the Hunted,1987,G,Standard,S
175,Adventures in Babysitting,1987,PG-13,Touchstone,
176,Stakeout,1987,R,Touchstone,
177,Can’t Buy Me Love,1987,PG-13,Touchstone,
178,Hello Again,1987,PG,Touchstone,
179,Three Men and a Baby,1987,PG,Touchstone,
180,"Good Morning, Vietnam",1987,R,Touchstone,
181,Shoot to Kill,1988,R,Touchstone,
182,D.O.A.,1988,R,Touchstone,
183,Return to Snowy River,1988,PG,Standard,S
184,Big Business,1988,PG,Touchstone,
185,Who Framed Roger Rabbit,1988,PG,Touchstone,
186,Cocktail,1988,R,Touchstone,
187,The Rescue,1988,PG,Touchstone,
188,Heartbreak Hotel,1988,PG-13,Touchstone,
189,The Good Mother,1988,R,Touchstone,
190,Ernest Saves Christmas,1988,PG,Touchstone,
191,Oliver & Company,1988,G,Standard,A
192,Beaches,1988,PG-13,Touchstone,
193,Three Fugitives,1989,PG-13,Touchstone,
194,New York Stories,1989,PG,Touchstone,
195,Disorganized Crime,1989,R,Touchstone,
196,Dead Poets Society,1989,PG,Touchstone,
197,"Honey, I Shrunk the Kids",1989,PG,Standard,O
198,Turner & Hooch,1989,PG,Touchstone,
199,Cheetah,1989,G,Standard,A
200,An Innocent Man,1989,R,Touchstone,
201,Gross Anatomy,1989,PG-13,Touchstone,
202,The Little Mermaid,1989,G,Standard,A
203,Blaze,1989,R,Touchstone,
204,Stella,1990,PG-13,Touchstone,
205,Where the Heart Is,1990,R,Touchstone,
206,Pretty Woman,1990,R,Touchstone,
207,Ernest Goes to Jail,1990,PG,Touchstone,
208,Spaced Invaders,1990,PG,Touchstone,
209,Fire Birds,1990,PG-13,Touchstone,
210,Dick Tracy,1990,PG,Touchstone,
211,Betsy’s Wedding,1990,R,Touchstone,
212,Arachnophobia,1990,PG-13,Hollywood Pictures,
213,"Ducktales: the Movie, Treasure of the Lost Lamp",1990,G,Disney Movietoons,
214,Taking Care of Business,1990,R,Hollywood Pictures,
215,Mr. Destiny,1990,PG-13,Touchstone,
216,The Rescuers Down Under,1990,G,Standard,AS
217,Three Men and a Little Lady,1990,PG,Touchstone,
218,Green Card,1990,PG-13,Touchstone,
219,White Fang,1991,PG,Standard,A
220,Run,1991,R,Hollywood Pictures,
221,Scenes from a Mall,1991,R,Touchstone,
222,Shipwrecked,1991,PG,Standard,A
223,The Marrying Man,1991,R,Hollywood Pictures,
224,Oscar,1991,PG,Touchstone,
225,One Good Cop,1991,R,Hollywood Pictures,
226,What About Bob?,1991,PG,Touchstone,
227,Wild Hearts Can’t Be Broken,1991,G,Standard,A
228,The Rocketeer,1991,PG,Touchstone,A
229,The Doctor,1991,PG-13,Touchstone,
230,V. I. Warshawski,1991,R,Hollywood Pictures,
231,True Identity,1991,R,Touchstone,
232,Paradise,1991,PG-13,Touchstone,
233,Deceived,1991,PG-13,Touchstone,
234,Ernest Scared Stupid,1991,PG,Touchstone,
235,Billy Bathgate,1991,R,Touchstone,
236,Beauty and the Beast,1991,G,Standard,A
237,Father of the Bride,1991,PG,Touchstone,
238,The Hand That Rocks the Cradle,1992,R,Hollywood Pictures,
