Item,CCO Wikipedia link,CCO image link,CCO — Type,CCO — Start Date,CCO — End Date,Original?,Adaptation Type,Based on Real Life?
Mission: Impossible III,https://en.wikipedia.org/wiki/Mission:_Impossible_III,,Movie,2006,,0,Sequel,0
Mission: Impossible 2,https://en.wikipedia.org/wiki/Mission:_Impossible_2,,Movie,2000,,0,Sequel,0
Mission: Impossible,https://en.wikipedia.org/wiki/Mission:_Impossible_%E2%80%93_Fallout,,Movie,1996,,0,Adaptation,0
Mission: Impossible (1988) TV Series,https://en.wikipedia.org/wiki/Mission:_Impossible_(1988_TV_series),,TV,1988,,0,,0
Mission: Impossible (1966) TV Series,https://en.wikipedia.org/wiki/Mission:_Impossible_(1966_TV_series),,TV,1966,,1,,0
The Hunger Games: The Ballad of Songbirds and Snakes,https://en.wikipedia.org/wiki/The_Hunger_Games:_The_Ballad_of_Songbirds_%26_Snakes,,Movie,2023,,0,Sequel,0
The Hunger Games: Mockingjay Part 2,https://en.wikipedia.org/wiki/The_Hunger_Games:_Mockingjay_%E2%80%93_Part_2,,Movie,2015,,0,Sequel,0
The Hunger Games: Mockingjay Part 1,https://en.wikipedia.org/wiki/The_Hunger_Games:_Mockingjay_%E2%80%93_Part_1,,Movie,2014,,0,Sequel,0
The Hunger Games: Catching Fire,https://en.wikipedia.org/wiki/The_Hunger_Games:_Catching_Fire,,Movie,2013,,0,Sequel,0
The Hunger Games (2012),https://en.wikipedia.org/wiki/The_Hunger_Games_(film),,Movie,2012,,0,Adaptation,0
The Hunger Games Book Series,https://en.wikipedia.org/wiki/The_Hunger_Games,,Book,2015,,1,,0
The Ballad of Songbirds and Snakes Novel,https://en.wikipedia.org/wiki/The_Ballad_of_Songbirds_and_Snakes,,Book,2020,,0,,0
Transformers: Rise of the Beasts,https://en.wikipedia.org/wiki/Transformers:_Rise_of_the_Beasts,,Movie,2023,,0,Sequel,0
Bumblebee (2018),https://en.wikipedia.org/wiki/Bumblebee_(film),,Movie,2018,,0,Sequel,0
Transformers (2007),https://en.wikipedia.org/wiki/Transformers_(film),,Movie,2007,,0,Adaptation,0
Transformers: Revenge of the Fallen,https://en.wikipedia.org/wiki/Transformers:_Revenge_of_the_Fallen,,Movie,2009,,0,Sequel,0
Transformers: Dark of the Moon,https://en.wikipedia.org/wiki/Transformers:_Dark_of_the_Moon,,Movie,2011,,0,Sequel,0
Transformers: Age of Extinction,https://en.wikipedia.org/wiki/Transformers:_Age_of_Extinction,,Movie,2014,,0,Sequel,0
Transformers: The Last Knight,https://en.wikipedia.org/wiki/Transformers:_The_Last_Knight,,Movie,2017,,0,Sequel,0
Beast Wars: Transformers TV Series,https://en.wikipedia.org/wiki/Beast_Wars:_Transformers,,TV,1996,1999,0,,0
The Transformers (1984) TV Series,https://en.wikipedia.org/wiki/The_Transformers_(TV_series),,TV,1984,1987,1,,0
Transformers Toy Line,https://en.wikipedia.org/wiki/Transformers:_Generation_1,,Toy,1980,,1,,0
Creed III,https://en.wikipedia.org/wiki/Creed_III,,Movie,2023,,0,Sequel,0
Creed II,https://en.wikipedia.org/wiki/Creed_II,,Movie,2018,,0,Sequel,0
Creed,https://en.wikipedia.org/wiki/Creed_(film),,Movie,2015,,0,Sequel,0
Rocky Balboa,https://en.wikipedia.org/wiki/Rocky_Balboa,,Movie,2006,,0,Sequel,0
Rocky V,https://en.wikipedia.org/wiki/Rocky_V,,Movie,1990,,0,Sequel,0
Rocky IV,https://en.wikipedia.org/wiki/Rocky_IV,,Movie,1985,,0,Sequel,0
Rocky III,https://en.wikipedia.org/wiki/Rocky_III,,Movie,1982,,0,Sequel,0
Rocky II,https://en.wikipedia.org/wiki/Rocky_II,,Movie,1979,,0,Sequel,0
Rocky,https://en.wikipedia.org/wiki/Rocky,,Movie,1976,,1,,0
Fast X,https://en.wikipedia.org/wiki/Fast_X,,Movie,2023,,0,Sequel,0
F9 (2021),https://en.wikipedia.org/wiki/F9_(film),,Movie,2021,,0,Sequel,0
Hobbs & Shaw (2019),https://en.wikipedia.org/wiki/Hobbs_%26_Shaw,,Movie,2019,,0,Sequel,0
The Fate of the Furious (2017),https://en.wikipedia.org/wiki/The_Fate_of_the_Furious,,Movie,2017,,0,Sequel,0
