ID,Item,Wiki_Link,Image_Link,Medium,Year,Original,Adaptation_Type,Based on Real Life?,BoxOff_Rank,Domestic_Gross,Worldwide_Gross,Production_Budget,Profit
ID-034,John-Wick: Chapter 2,https://en.wikipedia.org/wiki/John_Wick:_Chapter_2,,Movie,2017,0,Sequel,0,9,92029184.00,171539887.00,40000000.00,131539887.00
ID-035,John Wick,https://en.wikipedia.org/wiki/John_Wick,,Movie,2014,1,,0,9,171015687.00,88761661.00,20000000.00,68761661.00
ID-036,Sound of Freedom,https://en.wikipedia.org/wiki/Sound_of_Freedom_(film),,Movie,2023,0,,1,10,184178046.00,250600000.00,14500000.00,236100000.00
ID-037,Based on the life of Tim Ballard,https://en.wikipedia.org/wiki/Tim_Ballard,,Life,1971,1,,1,10,,,,
ID-038,TAYLOR SWIFT | THE ERAS TOUR,https://en.wikipedia.org/wiki/Taylor_Swift:_The_Eras_Tour,,Movie,2023,1,,1,11,180560779.00,261656269.00,15000000.00,246656269.00
ID-039,Indiana Jones and the Dial of Destiny,https://en.wikipedia.org/wiki/Indiana_Jones_and_the_Dial_of_Destiny,,Movie,2023,0,Sequel,0,12,174480468.00,383900000.00,294700000.00,89200000.00
ID-040,Indiana Jones and the Kingdom of the Crystal Skull,https://en.wikipedia.org/wiki/Indiana_Jones_and_the_Kingdom_of_the_Crystal_Skull,,Movie,2008,0,Sequel,0,12,317101119.00,786636033.00,185000000.00,601636033.00
ID-041,Indiana Jones and the Last Crusade,https://en.wikipedia.org/wiki/Indiana_Jones_and_the_Last_Crusade,,Movie,1989,0,Sequel,0,12,197171806.00,474171806.00,48000000.00,426171806.00
ID-042,Indiana Jones and the Temple of Doom,https://en.wikipedia.org/wiki/Indiana_Jones_and_the_Temple_of_Doom,,Movie,1984,0,Sequel,0,12,179870271.00,333000000.00,28000000.00,305000000.00
ID-043,Raiders of the Lost Ark,https://en.wikipedia.org/wiki/Raiders_of_the_Lost_Ark,,Movie,1981,1,,0,12,248159971.00,389925971.00,18000000.00,371925971.00
ID-044,Mission: Impossible Dead Reckoning,https://en.wikipedia.org/wiki/Mission:_Impossible_%E2%80%93_Dead_Reckoning_Part_One,,Movie,2023,0,Sequel,0,13,172640980.00,567500000.00,291000000.00,276500000.00
ID-045,Mission: Impossible - Fallout,https://en.wikipedia.org/wiki/Mission:_Impossible_%E2%80%93_Fallout,,Movie,2018,0,Sequel,0,13,220159104.00,791700000.00,178000000.00,613700000.00
ID-046,Mission: Impossible - Rogue Nation,https://en.wikipedia.org/wiki/Mission:_Impossible_%E2%80%93_Rogue_Nation,,Movie,2015,0,Sequel,0,13,195042377.00,682700000.00,150000000.00,532700000.00
ID-047,Mission: Impossible - Ghost Protocol,https://en.wikipedia.org/wiki/Mission:_Impossible_%E2%80%93_Ghost_Protocol,,Movie,2011,0,Sequel,0,13,209397903.00,694700000.00,145000000.00,549700000.00
ID-048,Mission: Impossible III,https://en.wikipedia.org/wiki/Mission:_Impossible_III,,Movie,2006,0,Sequel,0,13,134029801.00,398500000.00,150000000.00,248500000.00
ID-049,Mission: Impossible 2,https://en.wikipedia.org/wiki/Mission:_Impossible_2,,Movie,2000,0,Sequel,0,13,215409889.00,546400000.00,125000000.00,421400000.00
ID-050,Mission: Impossible,https://en.wikipedia.org/wiki/Mission:_Impossible_%E2%80%93_Fallout,,Movie,1996,0,Adaptation,0,13,180981856.00,457700000.00,80000000.00,377700000.00
ID-051,Mission: Impossible (1988) TV Series,https://en.wikipedia.org/wiki/Mission:_Impossible_(1988_TV_series),,TV,1988,0,,0,13,,,,
ID-052,Mission: Impossible (1966) TV Series,https://en.wikipedia.org/wiki/Mission:_Impossible_(1966_TV_series),,TV,1966,1,,0,13,,,,
ID-053,The Hunger Games: The Ballad of Songbirds and Snakes,https://en.wikipedia.org/wiki/The_Hunger_Games:_The_Ballad_of_Songbirds_%26_Snakes,,Movie,2023,0,Sequel,0,14,159719625.00,337134868.00,100000000.00,237134868.00
ID-054,The Hunger Games: Mockingjay Part 2,https://en.wikipedia.org/wiki/The_Hunger_Games:_Mockingjay_%E2%80%93_Part_2,,Movie,2015,0,Sequel,0,14,281723902.00,653428261.00,160000000.00,493428261.00
ID-055,The Hunger Games: Mockingjay Part 1,https://en.wikipedia.org/wiki/The_Hunger_Games:_Mockingjay_%E2%80%93_Part_1,,Movie,2014,0,Sequel,0,14,337135885.00,755356711.00,125000000.00,630356711.00
ID-056,The Hunger Games: Catching Fire,https://en.wikipedia.org/wiki/The_Hunger_Games:_Catching_Fire,,Movie,2013,0,Sequel,0,14,424668047.00,865011746.00,130000000.00,735011746.00
ID-057,The Hunger Games,https://en.wikipedia.org/wiki/The_Hunger_Games_(film),,Movie,2012,0,Adaptation,0,14,408010692.00,694394724.00,75000000.00,619394724.00
ID-058,The Hunger Games Book Series,https://en.wikipedia.org/wiki/The_Hunger_Games,,Book,2008,1,,0,14,,,,
ID-059,The Ballad of Songbirds and Snakes Novel,https://en.wikipedia.org/wiki/The_Ballad_of_Songbirds_and_Snakes,,Book,2020,0,,0,14,,,,
ID-060,Transformers: Rise of the Beasts,https://en.wikipedia.org/wiki/Transformers:_Rise_of_the_Beasts,,Movie,2023,0,Sequel,0,15,157341749.00,439000000.00,195000000.00,244000000.00
ID-061,Bumblebee,https://en.wikipedia.org/wiki/Bumblebee_(film),,Movie,2018,0,Sequel,0,15,127195589.00,467989645.00,135000000.00,332989645.00
ID-062,Transformers,https://en.wikipedia.org/wiki/Transformers_(film),,Movie,2007,0,Adaptation,0,15,319246193.00,709700000.00,150000000.00,559700000.00
ID-063,Transformers: Revenge of the Fallen,https://en.wikipedia.org/wiki/Transformers:_Revenge_of_the_Fallen,,Movie,2009,0,Sequel,0,15,402111870.00,836300000.00,200000000.00,636300000.00
ID-064,Transformers: Dark of the Moon,https://en.wikipedia.org/wiki/Transformers:_Dark_of_the_Moon,,Movie,2011,0,Sequel,0,15,352390543.00,1123800000.00,195000000.00,928800000.00
ID-065,Transformers: Age of Extinction,https://en.wikipedia.org/wiki/Transformers:_Age_of_Extinction,,Movie,2014,0,Sequel,0,15,245439076.00,1104100000.00,210000000.00,894100000.00
ID-066,Transformers: The Last Knight,https://en.wikipedia.org/wiki/Transformers:_The_Last_Knight,,Movie,2017,0,Sequel,0,15,130168683.00,605400000.00,217000000.00,388400000.00
ID-067,Beast Wars: Transformers TV Series,https://en.wikipedia.org/wiki/Beast_Wars:_Transformers,,TV,1996,0,,0,15,,,,
ID-068,The Transformers (1984) TV Series,https://en.wikipedia.org/wiki/The_Transformers_(TV_series),,TV,1984,1,,0,15,,,,
ID-069,Transformers Toy Line,https://en.wikipedia.org/wiki/Transformers:_Generation_1,,Toy,1980,1,,0,15,,,,
ID-070,Creed III,https://en.wikipedia.org/wiki/Creed_III,,Movie,2023,0,Sequel,0,16,156248615.00,275300000.00,75000000.00,200300000.00
ID-071,Creed II,https://en.wikipedia.org/wiki/Creed_II,,Movie,2018,0,Sequel,0,16,115715889.00,214200000.00,50000000.00,164200000.00
ID-072,Creed,https://en.wikipedia.org/wiki/Creed_(film),,Movie,2015,0,Sequel,0,16,109778883.00,173600000.00,37000000.00,136600000.00
ID-073,Rocky Balboa,https://en.wikipedia.org/wiki/Rocky_Balboa,,Movie,2006,0,Sequel,0,16,70270943.00,155900000.00,24000000.00,131900000.00
ID-074,Rocky V,https://en.wikipedia.org/wiki/Rocky_V,,Movie,1990,0,Sequel,0,16,40946358.00,120000000.00,42000000.00,78000000.00
ID-075,Rocky IV,https://en.wikipedia.org/wiki/Rocky_IV,,Movie,1985,0,Sequel,0,16,127873716.00,300500000.00,31000000.00,269500000.00
ID-076,Rocky III,https://en.wikipedia.org/wiki/Rocky_III,,Movie,1982,0,Sequel,0,16,125049125.00,270000000.00,17000000.00,253000000.00
ID-077,Rocky II,https://en.wikipedia.org/wiki/Rocky_II,,Movie,1979,0,Sequel,0,16,85182160.00,85200000.00,7000000.00,78200000.00
ID-078,Rocky,https://en.wikipedia.org/wiki/Rocky,,Movie,1976,1,,0,16,117235147.00,225300000.00,1000000.00,224300000.00
ID-079,Elemental,https://en.wikipedia.org/wiki/Elemental_(2023_film),,Movie,2023,1,,0,17,154426697.00,496000000.00,200000000.00,296000000.00
ID-080,Fast X,https://en.wikipedia.org/wiki/Fast_X,,Movie,2023,0,Sequel,0,18,146126015.00,704709660.00,340000000.00,364709660.00
ID-081,F9,https://en.wikipedia.org/wiki/F9_(film),,Movie,2021,0,Sequel,0,18,173005945.00,726229501.00,200000000.00,526229501.00
ID-082,Hobbs & Shaw,https://en.wikipedia.org/wiki/Hobbs_%26_Shaw,,Movie,2019,0,Sequel,0,18,173956935.00,760098996.00,200000000.00,560098996.00
ID-083,The Fate of the Furious,https://en.wikipedia.org/wiki/The_Fate_of_the_Furious,,Movie,2017,0,Sequel,0,18,226008385.00,1236000000.00,250000000.00,986000000.00
ID-084,Furious 7,https://en.wikipedia.org/wiki/Furious_7,,Movie,2015,0,Sequel,0,18,353007020.00,1515400000.00,190000000.00,1325400000.00
ID-085,Fast & Furious 6,https://en.wikipedia.org/wiki/Fast_%26_Furious_6,,Movie,2013,0,Sequel,0,18,238679850.00,788700000.00,160000000.00,628700000.00
ID-086,Fast Five,https://en.wikipedia.org/wiki/Fast_Five,,Movie,2011,0,Sequel,0,18,209837675.00,626100000.00,125000000.00,501100000.00
ID-087,Fast & Furious,https://en.wikipedia.org/wiki/Fast_%26_Furious_(2009_film),,Movie,2009,0,Sequel,0,18,155064265.00,363164265.00,85000000.00,278164265.00
ID-088,Tokyo Drift,https://en.wikipedia.org/wiki/The_Fast_and_the_Furious:_Tokyo_Drift,,Movie,2006,0,Sequel,0,18,62514415.00,158964610.00,85000000.00,73964610.00
ID-089,2 Fast 2 Furious,https://en.wikipedia.org/wiki/2_Fast_2_Furious,,Movie,2003,0,Sequel,0,18,127154901.00,236350661.00,76000000.00,160350661.00
ID-090,The Fast and the Furious,https://en.wikipedia.org/wiki/The_Fast_and_the_Furious_(2001_film),,Movie,2001,1,,0,18,144745925.00,207283925.00,38000000.00,169283925.00
ID-091,Five Nights at Freddy’s,https://en.wikipedia.org/wiki/Five_Nights_at_Freddy%27s_(film),,Movie,2023,0,Adaptation,0,19,137275620.00,294803785.00,20000000.00,274803785.00
ID-092,Five Nights at Freddy's Game,https://en.wikipedia.org/wiki/Five_Nights_at_Freddy%27s_(video_game),,Game,2014,1,,0,19,,,,
ID-093,Wonka,https://en.wikipedia.org/wiki/Wonka_(film),,Movie,2023,0,Sequel,0,20,133129902.00,632302312.00,125000000.00,507302312.00
ID-094,Willy Wonka & the Chocolate Factory,https://en.wikipedia.org/wiki/Willy_Wonka_%26_the_Chocolate_Factory,,Movie,1971,0,Adaptation,0,20,573368.00,4000000.00,3000000.00,1000000.00
ID-095,Charlie and the Chocolate Factory Novel,https://en.wikipedia.org/wiki/Charlie_and_the_Chocolate_Factory,,Book,1964,1,,0,20,,,,
ID-096,Puss in Boots: The Last Wish,https://en.wikipedia.org/wiki/Puss_in_Boots:_The_Last_Wish,,Movie,2023,0,Sequel,0,21,130425380.00,484700000.00,90000000.00,394700000.00
ID-097,Puss in Boots,https://en.wikipedia.org/wiki/Puss_in_Boots_(2011_film),,Movie,2011,0,Sequel,0,21,149260504.00,554987477.00,130000000.00,424987477.00
ID-098,Shrek Forever After,https://en.wikipedia.org/wiki/Shrek_Forever_After,,Movie,2010,0,Sequel,0,21,238736787.00,752600867.00,165000000.00,587600867.00
ID-099,Shrek the Third,https://en.wikipedia.org/wiki/Shrek_the_Third,,Movie,2007,0,Sequel,0,21,444854717.00,813367380.00,160000000.00,653367380.00
ID-100,Shrek 2,https://en.wikipedia.org/wiki/Shrek_2,,Movie,2004,0,Sequel,0,21,444854717.00,932339342.00,150000000.00,782339342.00
ID-101,Shrek,https://en.wikipedia.org/wiki/Shrek,,Movie,2001,0,Adaptation,0,21,268349831.00,488628188.00,60000000.00,428628188.00
ID-102,Shrek!,https://en.wikipedia.org/wiki/Shrek!,,Book,1990,1,,0,21,,,,
ID-103,Puss in Boots Fairytale,https://en.wikipedia.org/wiki/Puss_in_Boots_(2011_film),,Fairytale,1550,1,,0,21,,,,
ID-104,Teenage Mutant Ninja Turtles: Mutant Mayhem,https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles:_Mutant_Mayhem,,Movie,2023,0,Remake,0,22,118700272.00,180000000.00,75000000.00,105000000.00
ID-105,Teenage Mutant Ninja Turtles (1990),https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles_(1990_film),,Movie,1990,0,Remake,0,22,135384756.00,201965915.00,13500000.00,188465915.00
ID-106,Teenage Mutant Ninja Turtles Comic Series,https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles,,Comic,1983,1,,0,22,,,,
ID-107,Scream VI,https://en.wikipedia.org/wiki/Scream_VI,,Movie,2023,0,Sequel,0,23,108391107.00,169000000.00,35000000.00,134000000.00
ID-108,Scream (2022),https://en.wikipedia.org/wiki/Scream_(2022_film),,Movie,2022,0,Sequel,0,23,81641405.00,137700000.00,24000000.00,113700000.00
ID-109,Scream 4,https://en.wikipedia.org/wiki/Scream_4,,Movie,2011,0,Sequel,0,23,38180928.00,97200000.00,40000000.00,57200000.00
ID-110,Scream 3,https://en.wikipedia.org/wiki/Scream_3,,Movie,2000,0,Sequel,0,23,89143175.00,161800000.00,40000000.00,121800000.00
ID-111,Scream 2,https://en.wikipedia.org/wiki/Scream_2,,Movie,1997,0,Sequel,0,23,101363301.00,172400000.00,24000000.00,148400000.00
ID-112,Scream (1996),https://en.wikipedia.org/wiki/Scream_(1996_film),,Movie,1996,1,,0,23,103046663.00,173100000.00,14000000.00,159100000.00
ID-113,The Flash,https://en.wikipedia.org/wiki/The_Flash_(film),,Movie,2023,0,Adaptation,0,24,108167507.00,271333313.00,220000000.00,51333313.00
ID-114,Flash (1956) Comic Series,https://en.wikipedia.org/wiki/Flash_(Barry_Allen),,Comic,1956,0,,0,24,,,,
ID-115,Flash Comics,https://en.wikipedia.org/wiki/Flash_Comics,,Comic,1940,1,,0,24,,,,
ID-116,DC Extended Universe,https://en.wikipedia.org/wiki/DC_Extended_Universe,,CU,-1,1,,0,24,,,,
ID-117,Trolls Band Together,https://en.wikipedia.org/wiki/Trolls_Band_Together,,Movie,2023,0,Sequel,0,25,97540205.00,207318137.00,95000000.00,112318137.00
ID-118,Trolls World Tour,https://en.wikipedia.org/wiki/Trolls_World_Tour,,Movie,2020,0,Sequel,0,25,450000.00,49276818.00,90000000.00,-40723182.00
ID-119,Trolls,https://en.wikipedia.org/wiki/Trolls_(film),,Movie,2016,0,Adaptation,0,25,154174089.00,347337803.00,125000000.00,222337803.00
ID-120,Trolls Toy Line,https://en.wikipedia.org/wiki/Troll_doll,,Toy,1959,1,,0,25,,,,
ID-121,M3GAN,https://en.wikipedia.org/wiki/M3GAN,,Movie,2023,1,,0,26,95159005.00,179960167.00,12000000.00,167960167.00
ID-122,Dungeons & Dragons: Honor Among Thieves,https://en.wikipedia.org/wiki/Dungeons_%26_Dragons:_Honor_Among_Thieves,,Movie,2023,0,Adaptation,0,27,93549650.00,208200000.00,151000000.00,57200000.00
