Item,Source,Connection,Adaptation Type
Scream VI,Scream (2022),Sequel,
Scream (2022),Scream 4,Sequel,
Scream 4,Scream 3,Sequel,
Scream 3,Scream 2,Sequel,
Scream 2,Scream (1996),Sequel,
Scream (1996),Scream Film Series,Series,
Scream VI,Scream Film Series,Sequel Arc,
The Flash,Flash (1956) Comic Series ,Series Source,Adaptation
The Flash,Flash Comics (1940),Origin,Adaptation
The Flash,DC Cinematic Universe,CU,
Trolls Band Together,Trolls World Tour (2020),Sequel,
Trolls World Tour (2020),Trolls ,Sequel,
Trolls Band Together,Trolls Toy Line,Series Source,Adaptation
M3GAN,,,
Dungeons & Dragons: Honor Among Thieves,Forgotten Realms Setting,Direct Source,Adaptation
Forgotten Realms Setting,Dungeons and Dragons,Direct Source,
The Equalizer 3,The Equalizer 2,Sequel,
The Equalizer 2,The Equalizer,Sequel,
The Equalizer,The Equalizer (1985) TV Series,Series Source,Adaptation
The Nun II,The Conjuring: The Devil Made Me Do It,Sequel,
The Conjuring: The Devil Made Me Do It,Annabelle Comes Home,Sequel,
Annabelle Comes Home,The Nun,Sequel,
The Nun,Annabelle: Creation,Sequel,
Annabelle: Creation,The Conjuring 2,Sequel,
The Conjuring 2,Annabelle,Sequel,
Annabelle,The Conjuring,Sequel,
The Conjuring,The Conjuring Film Franchise,Series,
The Conjuring Film Franchise,The Published Investigations of Ed and Lorraine Warren,Series Source,Adaptation
The Marvels,Captain Marvel (2019),Sequel,
The Marvels,Ms. Marvel (2022) TV Series,Sequel,
The Marvels,Generations: The Marvels Comic Issue,Direct Source,Adaptation
Captain Marvel (2019),Captain Marvel Comic Series,Direct Source,Adaptation
The Marvels,Monica Rambeau Various Appearances,Direct Source,Adaptation
The Marvels,Marvel Cinematic Universe,CU,
Meg 2: The Trench,The Meg (2018),Sequel,
Meg 2: The Trench,The Trench (1999) Book,Direct Source,Adaptation
The Meg (2018),Meg: A Novel of Deep Terror (1997),Direct Source,Adaptation
Insidious: The Red Door,Insidious: The Last Key,Sequel,
Insidious: The Last Key,Insidious: Chapter 3,Sequel,
Insidious: Chapter 3,Insidious: Chapter 2,Sequel,
Insidious: Chapter 2,Insidious ,Sequel,
Insidious ,Insidious Film Franchise,Series,
Aquaman and the Lost Kingdom,Aquaman (2018),Sequel,
Aquaman (2018),Aquaman Comic Series,Series Source,Adaptation
Aquaman Comic Series,DC Extended Universe,CU,
Blue Beetle,Jaime Reyes Blue Beetle Assorted Appearances,Direct Source,Adaptation
Blue Beetle,DC Extended Universe,CU,
Haunted Mansion,Haunted Mansion (2003),Direct Source,Reboot
Haunted Mansion (2003),Haunted Mansion Park Ride,Direct Source,Adaptation
Evil Dead Rise,Evil Dead (2013),Sequel,
Evil Dead (2013),Army of Darkness,Sequel,
Army of Darkness,Evil Dead II,Sequel,
Evil Dead II,The Evil Dead,Sequel,
Killers of the Flower Moon,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI Book,Direct Source,Adaptation
Killers of the Flower Moon,The Osage Murders ,Direct Source,
The Exorcist: Believer,Dominion,Sequel Arc,
Dominion,Exorcist: The Beginning,Sequel,
Exorcist: The Beginning,The Exorcist III,Sequel,
The Exorcist III,The Exorcist II: The Heretic,Sequel,
The Exorcist II: The Heretic,The Exorcist (1973),Sequel,
The Exorcist (1973),The Exorcist (1971) Book,Series Source,Adaptation
PAW Patrol: The Mighty Movie,Paw Patrol: The Movie (2021),Sequel,
Paw Patrol: The Movie (2021),Paw Patrol TV Series,Series Source,Adaptation
Cocaine Bear,Cocaine Bear incident of 1985,Direct Source,
A Man Called Otto,A Man Called Ove (2015) Film,Direct Source,Remake
A Man Called Ove (2015) Film,A Man Called Ove (2012) Book,Direct Source,Adaptation
Wish,,,
Napoleon,Life of Napoleon Bonaparte,Direct Source,
Shazam! Fury of the Gods,Shazam! (2019),Sequel,
Shazam! (2019),Shazam/Captain Marvel Comic Character,Series Source,Adaptation
Shazam! (2019),Shazam Film Series,Series,
Shazam/Captain Marvel Comic Character,DC Extended Universe,CU,
Migration,,,
Saw X,Spiral,Sequel,
Spiral,Jigsaw,Sequel,
Jigsaw,Saw 3D,Sequel,
Saw 3D,Saw VI,Sequel,
Saw VI,Saw V,Sequel,
Saw V,Saw IV,Sequel,
Saw IV,Saw III,Sequel,
Saw III,Saw II,Sequel,
Saw II,Saw (2004),Sequel,
Saw (2004),Saw Film Series,Series,
AIR,Based on the origins of Air Jordan Brand,Direct Source,
Jesus Revolution,Jesus Revolution (2018) Book,Direct Source,Adaptation
Jesus Revolution (2018) Book,Life of Greg Laurie,Direct Source,
No Hard Feelings,,,
Talk To Me,,,
